EmployeeNumber,Age,Age_Group,Gender,Department,JobRole,BusinessTravel,DistanceFromHome,Education,EducationField,JobLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,Salary_Band,OverTime,TotalWorkingYears,Experience_Band,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,StockOptionLevel,MaritalStatus,Attrition
23,53,45-54,Female,Sales,Manager,Travel_Rarely,2,4,"Life Sciences",4,4,1,3,3,15427,"Very High",No,31,"20+ Years",25,8,3,7,2,3,16,3,0,Married,No
24,38,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,2,3,"Life Sciences",1,4,4,3,3,3944,Medium,Yes,6,"6-10 Years",3,2,1,2,5,3,11,3,0,Single,No
26,24,"Under 25",Female,"Research & Development","Manufacturing Director",Non-Travel,11,2,Other,2,3,1,4,2,4011,Medium,No,5,"3-5 Years",4,2,1,3,0,5,18,3,1,Divorced,No
27,36,35-44,Male,Sales,"Sales Representative",Travel_Rarely,9,4,"Life Sciences",1,1,3,2,3,3407,Medium,No,10,"6-10 Years",5,3,0,3,7,4,23,4,0,Single,Yes
28,34,25-34,Female,"Research & Development","Research Director",Travel_Rarely,7,4,"Life Sciences",3,2,1,3,3,11994,"Very High",No,13,"11-20 Years",12,6,2,11,0,4,11,3,0,Single,No
30,21,"Under 25",Male,"Research & Development","Research Scientist",Travel_Rarely,15,2,"Life Sciences",1,4,3,4,3,1232,Low,No,0,"0-2 Years",0,0,0,0,1,6,14,3,0,Single,No
31,34,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,6,1,Medical,1,1,2,3,3,2960,Low,No,8,"6-10 Years",4,2,1,3,2,2,11,3,0,Single,Yes
32,53,45-54,Female,"Research & Development",Manager,Travel_Rarely,5,3,Other,5,3,3,4,2,19094,"Very High",No,26,"20+ Years",14,13,4,8,4,3,11,3,1,Divorced,No
33,32,25-34,Female,"Research & Development","Research Scientist",Travel_Frequently,16,1,"Life Sciences",1,1,2,2,3,3919,Medium,Yes,10,"6-10 Years",10,2,6,7,1,5,22,4,0,Single,Yes
35,42,35-44,Male,Sales,"Sales Executive",Travel_Rarely,8,4,Marketing,2,2,3,4,3,6825,High,No,10,"6-10 Years",9,7,4,2,0,2,11,3,1,Married,No
36,44,35-44,Female,"Research & Development","Healthcare Representative",Travel_Rarely,7,4,Medical,3,4,1,4,3,10248,"Very High",No,24,"20+ Years",22,6,5,17,3,4,14,3,1,Married,No
38,46,45-54,Female,Sales,Manager,Travel_Rarely,2,4,Marketing,5,1,2,4,2,18947,"Very High",No,22,"20+ Years",2,2,2,1,3,2,12,3,0,Single,No
39,33,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,3,Medical,1,4,3,4,3,2496,Low,No,7,"6-10 Years",1,1,0,0,4,3,11,3,0,Single,No
40,44,35-44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,10,4,Other,2,4,4,4,4,6465,High,Yes,9,"6-10 Years",4,2,1,3,2,5,13,3,0,Married,No
41,30,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,9,2,Medical,1,3,4,1,3,2206,Low,No,10,"6-10 Years",10,0,1,8,1,5,13,3,0,Single,No
42,39,35-44,Male,Sales,"Sales Representative",Travel_Rarely,5,3,"Technical Degree",2,4,4,3,4,2086,Low,No,19,"11-20 Years",1,0,0,0,3,6,14,3,1,Married,Yes
45,24,"Under 25",Male,"Research & Development","Research Scientist",Travel_Rarely,1,3,Medical,1,4,2,1,2,2293,Low,Yes,6,"6-10 Years",2,0,2,0,2,2,16,3,1,Married,Yes
46,43,35-44,Female,"Research & Development","Research Scientist",Travel_Rarely,2,2,Medical,1,3,4,4,2,2645,Low,No,6,"6-10 Years",5,3,1,4,1,3,12,3,2,Divorced,No
47,50,45-54,Male,Sales,"Sales Representative",Travel_Rarely,3,2,Marketing,1,3,1,3,3,2683,Low,Yes,3,"3-5 Years",3,2,0,2,1,2,14,3,0,Married,Yes
49,35,35-44,Female,Sales,"Sales Representative",Travel_Rarely,2,3,Marketing,1,4,4,1,3,2014,Low,No,2,"0-2 Years",2,2,2,2,1,3,13,3,0,Married,No
51,36,35-44,Female,"Research & Development","Research Scientist",Travel_Rarely,5,4,"Life Sciences",1,1,2,4,4,3419,Medium,Yes,6,"6-10 Years",1,1,0,0,9,3,14,3,1,Married,No
52,33,25-34,Female,Sales,"Sales Executive",Travel_Frequently,1,3,"Life Sciences",2,1,3,1,3,5376,Medium,No,10,"6-10 Years",5,3,1,3,2,3,19,3,2,Married,No
53,35,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,4,2,Other,1,4,3,3,3,1951,Low,No,1,"0-2 Years",1,0,0,0,1,3,12,3,1,Divorced,No
54,27,25-34,Female,"Research & Development","Laboratory Technician",Travel_Rarely,2,4,"Life Sciences",1,1,4,4,3,2341,Low,No,1,"0-2 Years",1,0,0,0,1,6,13,3,1,Divorced,No
55,26,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,25,3,"Life Sciences",1,3,1,3,2,2293,Low,No,1,"0-2 Years",1,0,0,1,1,2,12,3,0,Single,Yes
56,27,25-34,Male,Sales,"Sales Executive",Travel_Frequently,8,3,"Life Sciences",3,3,4,4,3,8726,High,No,9,"6-10 Years",9,8,1,7,1,0,15,3,0,Single,No
57,30,25-34,Female,"Research & Development","Laboratory Technician",Travel_Frequently,1,2,Medical,2,4,3,4,3,4011,Medium,No,12,"11-20 Years",12,8,3,7,1,2,23,4,0,Single,No
58,41,35-44,Female,"Research & Development","Research Director",Travel_Rarely,12,3,"Technical Degree",5,3,2,4,3,19545,"Very High",No,23,"20+ Years",22,15,15,8,1,0,12,3,0,Married,Yes
60,34,25-34,Male,Sales,"Sales Executive",Non-Travel,23,4,Marketing,2,3,2,3,3,4568,Medium,No,10,"6-10 Years",9,5,8,7,0,2,20,4,0,Single,No
61,37,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,19,2,"Life Sciences",1,2,2,1,3,3022,Medium,No,8,"6-10 Years",1,0,0,0,4,1,21,4,0,Married,No
62,46,45-54,Male,Sales,"Sales Executive",Travel_Frequently,5,4,Marketing,2,4,1,3,3,5772,Medium,Yes,14,"11-20 Years",9,6,0,8,4,4,21,4,0,Single,No
63,35,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,8,1,"Life Sciences",1,4,4,4,3,2269,Low,No,1,"0-2 Years",1,0,0,1,1,2,19,3,0,Married,No
64,48,45-54,Male,"Research & Development","Laboratory Technician",Travel_Rarely,1,2,"Life Sciences",3,3,1,4,3,5381,Medium,Yes,23,"20+ Years",1,0,0,0,9,2,13,3,0,Single,Yes
65,28,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,5,4,"Technical Degree",1,3,3,3,2,3441,Medium,Yes,2,"0-2 Years",2,2,2,2,1,3,13,3,0,Single,Yes
68,44,35-44,Female,Sales,"Sales Executive",Travel_Rarely,1,5,Marketing,2,1,2,3,2,5454,Medium,Yes,9,"6-10 Years",4,3,1,3,5,2,21,4,1,Divorced,No
70,35,35-44,Male,"Research & Development","Healthcare Representative",Non-Travel,11,2,Medical,3,1,3,3,3,9884,High,Yes,10,"6-10 Years",4,0,2,3,2,3,13,3,1,Married,No
72,26,25-34,Female,Sales,"Sales Executive",Travel_Rarely,23,3,Marketing,2,4,3,3,2,4157,Medium,Yes,5,"3-5 Years",2,2,0,0,7,2,19,3,1,Married,No
73,33,25-34,Female,"Research & Development","Research Director",Travel_Frequently,1,2,"Life Sciences",3,4,1,3,3,13458,"Very High",Yes,15,"11-20 Years",15,14,8,12,1,1,12,3,0,Single,No
74,35,35-44,Male,Sales,"Sales Executive",Travel_Frequently,18,5,"Life Sciences",3,1,2,4,2,9069,High,No,9,"6-10 Years",9,8,1,8,1,3,22,4,1,Married,No
75,35,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,23,4,Medical,1,1,3,3,3,4014,Medium,Yes,4,"3-5 Years",2,2,2,2,3,3,15,3,1,Married,No
76,31,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,7,4,"Life Sciences",2,4,4,4,2,5915,Medium,No,10,"6-10 Years",7,7,1,7,3,3,22,4,1,Divorced,No
77,37,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,1,4,"Life Sciences",2,3,1,3,4,5993,Medium,No,7,"6-10 Years",7,5,0,7,1,2,18,3,1,Divorced,No
78,32,25-34,Male,"Research & Development","Manufacturing Director",Travel_Rarely,1,3,Medical,2,4,1,2,3,6162,High,Yes,9,"6-10 Years",9,8,7,8,1,3,22,4,1,Married,No
79,38,35-44,Female,"Research & Development","Laboratory Technician",Travel_Frequently,29,5,"Life Sciences",2,4,4,4,3,2406,Low,No,10,"6-10 Years",10,3,9,9,1,2,11,3,0,Single,No
80,50,45-54,Female,"Research & Development","Research Director",Travel_Rarely,7,2,Medical,5,3,2,4,2,18740,"Very High",Yes,29,"20+ Years",27,3,13,8,5,2,12,3,1,Divorced,No
81,59,55+,Female,Sales,"Sales Executive",Travel_Rarely,25,3,"Life Sciences",3,1,1,4,2,7637,High,No,28,"20+ Years",21,16,7,9,7,3,11,3,0,Single,No
83,36,35-44,Female,"Research & Development","Healthcare Representative",Travel_Rarely,8,3,"Technical Degree",3,3,3,2,3,10096,"Very High",No,17,"11-20 Years",17,14,12,8,1,2,13,3,3,Divorced,No
84,55,55+,Female,"Research & Development",Manager,Travel_Rarely,8,3,Medical,4,3,4,3,3,14756,"Very High",Yes,21,"20+ Years",5,0,0,2,2,2,14,3,3,Divorced,No
85,36,35-44,Male,"Research & Development","Manufacturing Director",Travel_Frequently,11,3,"Life Sciences",2,2,2,3,3,6499,High,No,6,"6-10 Years",6,5,0,3,1,3,13,3,0,Single,No
86,45,45-54,Male,"Research & Development","Research Scientist",Travel_Rarely,7,3,"Life Sciences",3,1,2,3,3,9724,High,No,25,"20+ Years",1,0,0,0,2,2,17,3,1,Divorced,No
88,35,35-44,Male,"Research & Development","Research Scientist",Travel_Frequently,1,3,Medical,1,1,2,4,2,2194,Low,No,5,"3-5 Years",3,2,1,2,4,2,13,3,1,Married,No
90,36,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,9,3,Medical,1,3,4,1,2,3388,Medium,Yes,2,"0-2 Years",1,0,0,0,0,0,17,3,1,Married,Yes
91,59,55+,Female,Sales,"Sales Executive",Travel_Frequently,1,1,"Life Sciences",2,3,1,4,2,5473,Medium,No,20,"11-20 Years",4,3,1,3,7,2,11,3,0,Single,No
94,29,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,2,3,"Life Sciences",1,2,3,4,3,2703,Low,No,6,"6-10 Years",5,4,0,4,0,3,23,4,1,Married,No
95,31,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,1,4,Medical,1,2,3,2,3,2501,Low,No,1,"0-2 Years",1,1,1,0,1,4,17,3,0,Single,No
96,32,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,1,3,"Life Sciences",2,2,2,2,3,6220,High,No,10,"6-10 Years",10,4,0,9,1,3,17,3,2,Married,No
97,36,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,6,3,"Life Sciences",1,4,2,2,3,3038,Medium,No,5,"3-5 Years",1,0,0,0,3,3,12,3,0,Married,No
98,31,25-34,Female,"Research & Development","Manufacturing Director",Travel_Rarely,8,4,"Life Sciences",2,4,3,4,3,4424,Medium,No,11,"11-20 Years",11,7,1,8,1,2,23,4,0,Single,No
100,35,35-44,Male,Sales,"Sales Executive",Travel_Rarely,1,4,Marketing,2,1,3,2,3,4312,Medium,No,16,"11-20 Years",15,13,2,8,0,2,14,3,0,Single,No
101,45,45-54,Male,"Research & Development","Research Director",Travel_Rarely,6,4,Other,3,1,4,2,4,13245,"Very High",Yes,17,"11-20 Years",0,0,0,0,4,3,14,3,0,Married,No
102,37,35-44,Male,"Research & Development","Research Director",Travel_Rarely,7,4,Medical,3,3,1,1,4,13664,"Very High",No,16,"11-20 Years",5,2,0,2,4,3,13,3,0,Single,No
103,46,45-54,Male,"Human Resources","Human Resources",Travel_Rarely,5,2,Medical,2,2,2,4,3,5021,Medium,Yes,16,"11-20 Years",4,2,0,2,8,2,22,4,1,Divorced,No
104,30,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,1,1,"Life Sciences",2,4,4,3,2,5126,Medium,Yes,10,"6-10 Years",10,8,3,0,1,1,12,3,2,Married,No
105,35,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,1,3,Medical,1,3,2,1,3,2859,Low,No,6,"6-10 Years",6,4,0,4,1,3,18,3,0,Single,No
106,55,55+,Male,Sales,"Sales Executive",Travel_Rarely,1,2,"Life Sciences",3,4,1,4,3,10239,"Very High",No,24,"20+ Years",1,0,1,0,3,4,14,3,1,Married,No
107,38,35-44,Female,"Research & Development","Research Scientist",Non-Travel,6,3,Medical,2,4,2,4,3,5329,Medium,Yes,17,"11-20 Years",13,11,1,9,7,3,12,3,3,Divorced,No
110,34,25-34,Male,"Research & Development","Manufacturing Director",Travel_Rarely,1,2,Medical,2,2,1,3,3,4325,Medium,No,5,"3-5 Years",5,2,1,3,1,2,15,3,0,Married,No
112,56,55+,Male,"Research & Development","Manufacturing Director",Travel_Rarely,7,3,"Life Sciences",3,4,4,1,2,7260,High,No,37,"20+ Years",6,4,0,2,4,3,11,3,0,Single,No
113,23,"Under 25",Male,Sales,"Sales Representative",Travel_Rarely,2,1,"Technical Degree",1,1,3,3,3,2322,Low,No,3,"3-5 Years",0,0,0,0,3,3,13,3,1,Divorced,No
116,51,45-54,Male,"Research & Development","Laboratory Technician",Travel_Rarely,9,4,"Life Sciences",1,4,4,2,3,2075,Low,No,10,"6-10 Years",4,2,0,3,3,4,23,4,2,Married,No
117,30,25-34,Male,"Research & Development","Healthcare Representative",Travel_Rarely,2,3,"Life Sciences",2,4,3,1,3,4152,Medium,No,11,"11-20 Years",11,10,10,8,1,3,19,3,3,Married,No
118,46,45-54,Male,Sales,"Sales Executive",Travel_Rarely,9,2,Medical,3,4,3,4,3,9619,High,No,9,"6-10 Years",9,8,4,7,1,3,16,3,0,Single,Yes
119,40,35-44,Male,"Research & Development","Healthcare Representative",Travel_Frequently,1,4,"Life Sciences",4,2,3,4,2,13503,"Very High",No,22,"20+ Years",22,3,11,11,1,3,22,4,1,Married,No
120,51,45-54,Male,Sales,"Sales Executive",Travel_Rarely,21,4,Marketing,2,4,3,4,1,5441,Medium,Yes,11,"11-20 Years",10,7,1,0,0,2,22,4,0,Single,No
121,30,25-34,Female,Sales,"Sales Executive",Travel_Rarely,4,2,Medical,2,2,3,2,2,5209,Medium,Yes,11,"11-20 Years",11,8,2,7,1,4,12,3,3,Divorced,No
124,46,45-54,Male,"Research & Development","Healthcare Representative",Travel_Frequently,1,3,Medical,3,1,3,3,2,10673,"Very High",Yes,21,"20+ Years",10,9,9,5,2,5,13,3,1,Married,No
125,32,25-34,Male,Sales,"Sales Executive",Travel_Rarely,6,4,Medical,2,3,2,1,3,5010,Medium,No,12,"11-20 Years",11,8,5,7,1,0,16,3,0,Single,No
126,54,45-54,Female,"Research & Development","Research Director",Travel_Rarely,2,4,"Technical Degree",3,3,1,1,1,13549,"Very High",No,16,"11-20 Years",4,3,0,3,9,5,12,3,1,Married,No
128,24,"Under 25",Female,Sales,"Sales Executive",Travel_Rarely,3,2,Other,2,3,1,1,2,4999,Medium,No,4,"3-5 Years",3,2,0,2,0,2,21,4,1,Married,No
129,28,25-34,Male,Sales,"Sales Executive",Non-Travel,4,3,Medical,2,3,2,2,4,4221,Medium,No,5,"3-5 Years",5,4,0,4,1,3,15,3,0,Married,No
131,58,55+,Male,Sales,"Sales Executive",Travel_Rarely,10,4,Medical,4,3,4,3,2,13872,"Very High",No,38,"20+ Years",37,10,1,8,0,1,13,3,0,Single,No
132,44,35-44,Male,"Research & Development","Laboratory Technician",Non-Travel,23,3,Medical,2,2,2,3,4,2042,Low,No,17,"11-20 Years",3,2,1,2,4,3,12,3,1,Married,No
133,37,35-44,Male,"Human Resources","Human Resources",Travel_Rarely,6,4,"Human Resources",1,1,3,4,3,2073,Low,Yes,7,"6-10 Years",3,2,0,2,4,3,22,4,0,Divorced,Yes
134,32,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,1,1,"Life Sciences",1,1,4,4,3,2956,Low,No,1,"0-2 Years",1,0,0,0,1,2,13,3,0,Single,No
137,20,"Under 25",Female,"Research & Development","Laboratory Technician",Travel_Frequently,6,3,"Life Sciences",1,4,4,2,3,2926,Low,Yes,1,"0-2 Years",1,0,1,0,1,5,18,3,0,Single,Yes
138,34,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,6,4,Other,2,3,1,3,3,4809,Medium,No,16,"11-20 Years",16,13,2,10,1,3,14,3,0,Single,No
139,37,35-44,Male,"Research & Development","Healthcare Representative",Non-Travel,2,2,"Life Sciences",2,4,3,4,4,5163,Medium,No,17,"11-20 Years",1,0,0,0,5,2,14,3,1,Divorced,No
140,59,55+,Female,"Human Resources",Manager,Non-Travel,2,4,"Human Resources",5,4,3,4,3,18844,"Very High",No,30,"20+ Years",3,2,2,2,9,3,21,4,1,Married,No
141,50,45-54,Female,"Research & Development","Research Director",Travel_Frequently,1,3,"Life Sciences",5,2,1,1,2,18172,"Very High",Yes,28,"20+ Years",8,3,0,7,3,1,19,3,0,Married,No
142,25,25-34,Male,Sales,"Sales Executive",Travel_Rarely,5,3,Marketing,2,3,3,4,3,5744,Medium,Yes,6,"6-10 Years",6,4,0,3,1,1,11,3,0,Single,Yes
143,25,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,7,1,Medical,1,4,4,3,3,2889,Low,No,2,"0-2 Years",2,2,2,1,1,2,11,3,2,Married,No
144,22,"Under 25",Female,"Research & Development","Laboratory Technician",Travel_Rarely,15,3,Medical,1,4,2,3,3,2871,Low,No,1,"0-2 Years",0,0,0,0,1,5,15,3,0,Single,No
145,51,45-54,Female,"Research & Development","Healthcare Representative",Travel_Frequently,1,4,Medical,3,1,1,3,2,7484,High,No,23,"20+ Years",13,12,12,8,3,1,20,4,0,Single,No
147,34,25-34,Male,"Research & Development","Laboratory Technician",Travel_Frequently,7,3,"Life Sciences",2,3,1,4,3,6074,High,Yes,9,"6-10 Years",9,7,0,6,1,3,24,4,0,Single,Yes
148,54,45-54,Female,"Human Resources",Manager,Non-Travel,26,3,"Human Resources",4,4,4,3,3,17328,"Very High",Yes,23,"20+ Years",5,3,4,4,2,3,12,3,0,Single,No
150,24,"Under 25",Male,"Research & Development","Laboratory Technician",Travel_Rarely,18,1,"Life Sciences",1,3,2,3,3,2774,Low,No,6,"6-10 Years",5,3,1,2,0,2,12,3,1,Married,No
151,34,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,6,4,"Life Sciences",2,2,3,3,3,4505,Medium,No,12,"11-20 Years",1,0,0,0,6,3,15,3,1,Divorced,No
152,37,35-44,Male,Sales,"Sales Executive",Travel_Rarely,3,3,"Life Sciences",3,4,3,1,3,7428,High,No,12,"11-20 Years",5,3,1,3,2,3,12,3,0,Single,No
153,34,25-34,Female,"Research & Development",Manager,Travel_Rarely,5,3,Medical,3,1,3,4,3,11631,"Very High",No,14,"11-20 Years",11,10,5,8,2,6,12,3,0,Single,No
154,36,35-44,Female,Sales,"Sales Executive",Travel_Frequently,11,2,"Technical Degree",3,4,2,3,3,9738,High,No,10,"6-10 Years",9,7,2,8,0,6,14,3,1,Married,No
155,36,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,3,2,"Life Sciences",1,4,1,1,3,2835,Low,No,7,"6-10 Years",1,0,0,0,5,2,22,4,1,Divorced,No
158,43,35-44,Male,Sales,Manager,Travel_Frequently,26,2,"Life Sciences",4,4,3,4,4,16959,"Very High",Yes,25,"20+ Years",25,12,4,12,1,3,12,3,2,Married,No
159,30,25-34,Male,"Research & Development","Research Scientist",Travel_Frequently,23,3,"Life Sciences",1,3,1,3,2,2613,Low,No,10,"6-10 Years",10,7,0,9,1,2,25,4,3,Divorced,No
160,33,25-34,Male,Sales,"Sales Executive",Non-Travel,22,2,Marketing,2,2,3,1,4,6146,High,No,8,"6-10 Years",7,7,0,7,0,2,13,3,1,Married,No
161,56,55+,Female,"Research & Development","Research Scientist",Travel_Rarely,14,4,"Life Sciences",1,2,2,1,3,4963,Medium,Yes,7,"6-10 Years",5,4,4,3,9,2,18,3,3,Married,Yes
162,51,45-54,Male,"Research & Development","Research Director",Travel_Rarely,6,3,"Life Sciences",5,3,1,3,3,19537,"Very High",No,23,"20+ Years",20,18,15,15,7,5,13,3,0,Single,No
163,31,25-34,Male,Sales,"Sales Executive",Travel_Rarely,6,4,"Life Sciences",2,3,2,2,2,6172,High,Yes,12,"11-20 Years",7,7,7,7,4,3,18,3,0,Married,Yes
164,26,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,6,3,Other,1,2,3,3,2,2368,Low,No,5,"3-5 Years",5,4,4,3,1,3,19,3,0,Married,No
165,58,55+,Female,"Research & Development","Healthcare Representative",Travel_Rarely,23,4,Medical,3,4,4,4,2,10312,"Very High",No,40,"20+ Years",40,10,15,6,1,3,12,3,1,Married,Yes
167,19,"Under 25",Male,Sales,"Sales Representative",Travel_Rarely,22,1,Marketing,1,3,4,4,2,1675,Low,Yes,0,"0-2 Years",0,0,0,0,1,2,19,3,0,Single,Yes
169,22,"Under 25",Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,1,"Technical Degree",1,4,3,3,3,2523,Low,No,3,"3-5 Years",2,1,2,1,0,2,14,3,1,Married,No
170,49,45-54,Female,"Research & Development","Manufacturing Director",Travel_Rarely,20,4,Medical,2,1,3,3,2,6567,High,No,16,"11-20 Years",15,11,5,11,1,2,14,3,0,Married,No
171,43,35-44,Female,"Research & Development","Research Scientist",Travel_Frequently,28,3,Medical,1,3,2,4,3,4739,Medium,No,18,"11-20 Years",3,2,1,2,4,2,12,3,0,Single,No
174,50,45-54,Female,Sales,"Sales Executive",Travel_Frequently,12,3,Marketing,3,4,3,4,3,9208,High,No,16,"11-20 Years",2,2,2,1,4,3,11,3,0,Single,No
175,31,25-34,Female,Sales,"Sales Executive",Travel_Rarely,20,3,"Life Sciences",2,3,2,3,3,4559,Medium,Yes,4,"3-5 Years",2,2,2,2,3,2,11,3,1,Married,Yes
176,41,35-44,Male,Sales,"Sales Executive",Travel_Rarely,9,1,"Life Sciences",3,3,3,3,3,8189,High,Yes,12,"11-20 Years",9,7,0,7,3,2,13,3,1,Divorced,No
177,26,25-34,Female,"Human Resources","Human Resources",Travel_Rarely,25,1,"Life Sciences",1,3,3,4,3,2942,Low,No,8,"6-10 Years",8,7,5,7,1,3,23,4,1,Married,No
178,36,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,6,2,Medical,2,2,2,4,3,4941,Medium,No,7,"6-10 Years",3,2,0,1,6,0,20,4,2,Divorced,No
179,51,45-54,Male,"Research & Development","Manufacturing Director",Travel_Frequently,8,4,"Life Sciences",3,4,1,4,3,10650,"Very High",No,18,"11-20 Years",4,2,0,3,2,2,15,3,0,Single,Yes
182,39,35-44,Female,Sales,"Sales Executive",Travel_Rarely,4,4,"Life Sciences",2,3,4,3,4,5902,Medium,No,17,"11-20 Years",15,11,5,9,4,1,14,3,1,Married,No
183,25,25-34,Male,Sales,"Sales Executive",Travel_Rarely,28,3,"Life Sciences",2,3,1,4,3,8639,High,No,6,"6-10 Years",2,2,2,2,2,3,18,3,0,Married,No
184,30,25-34,Male,"Human Resources","Human Resources",Travel_Rarely,9,3,"Human Resources",2,4,3,4,1,6347,High,Yes,12,"11-20 Years",11,9,4,7,0,2,19,3,0,Married,No
